Year,Counts,Top1,Top2,Top3,Top4,Top5
2011,75,苏州      ,鼓浪屿     ,上海      ,厦门,广州    
2012,100,北京       ,西安       ,西塘       ,青岛       ,婺源  
2013,391,上海       ,北京       ,香港       ,成都       ,大理       
2014,596,台北             ,北京             ,拉萨             ,香港             ,西安   
2015,660,香港      ,上海      ,三亚      ,北京      ,丽江      
2016,216,成都      ,厦门      ,三亚      ,哈尔滨     ,上海      
2017,200,上海         ,台北         ,西安         ,厦门         ,北京         
2018,177,香港         ,北京         ,重庆         ,厦门         ,成都         
