datetime,count,freq,top,unique
2014-01-31,336,37,三亚,55
2014-07-31,2705,250,厦门,293
2015-01-31,2959,573,济州岛,247
2015-07-31,5975,1098,济州岛,326
2016-01-31,4181,730,济州岛,333
2016-07-31,4657,673,济州岛,349
2017-01-31,2387,151,济州岛,271
2017-07-31,2950,200,曼谷,367
2018-01-31,2118,80,香港,355
2018-07-31,2911,227,全球,351
2019-01-31,4404,1893,全球,349
