question,answer,review number,name,gender,location,overseas_place,overseas_time,domestic_place,domestic_time,overseas_number,domestic_number,,,
0,56,65,冷耳猫(阿尔卑斯山),MGenderMale,阿尔卑斯山,"Thailand', 'Malaysia', 'Japan', 'Laos'","['2014.09', '2017.10', '2015.04', '2014.11']","成都, 大理, 拉萨, 兰州, 敦煌, 格尔木, 西岭雪山, 都江堰, 青海湖","['2014.05', '2015.07', '2014.07', '2015.02', '2015.02', '2015.02', '2015.04', '2015.04', '2015.02']",4,9,,,
1,5,0,三清山(三清山),MGenderMale,阿克苏,"Russia', 'United States of America', 'Sri Lanka', 'South Africa', 'United Arab Emirates', 'Egypt'","['2018.08', '2017.06', '2017.06', '2017.06', '2017.06', '2017.05']",,[],6,0,,,
0,0,0,我叫曹阿伦(安阳),MGenderMale,安阳,,[],,[],0,0,,,
2,2,0,天才德曼(鞍山),MGenderFemale,鞍山,"Italy', 'Singapore', 'Russia', 'Malaysia', 'Korea', 'Australia'","['2017.12', '2017.12', '2017.12', '2017.12', '2017.12', '2017.12']",,[],6,0,,,
0,38,35,高小喜是毛怪(奥克兰),MGenderFemale,奥克兰,"New Zealand', '', 'Thailand'","['2016.01', '2015.07', '2014.03']","北京, 阿尔山, 呼伦贝尔, 开封, 厦门, 满洲里, 洛阳","['2014.05', '2014.05', '2014.08', '2014.05', '2014.05', '2014.08', '2014.05']",3,7,,,
0,42,13,二和(奥农多加县),MGenderFemale,奥农多加县,,[],,[],0,0,,,
0,0,23,YX1314去旅行(巴黎),MGenderFemale,巴黎,Italy',['2014.05'],,[],1,0,,,
0,146,90,EvaVloer(上海),MGenderMale,巴黎,"Indonesia', 'Malaysia', 'Holland', 'Singapore', 'Germany', 'Austria', 'Spain', 'Portugal', 'Ireland', 'United States of America', 'Malta', 'Hungary', 'Vatican City State', 'Switzerland', 'Italy', 'Iceland', 'Belgium', 'Czech', 'France'","['2018.01', '2018.01', '2017.08', '2017.08', '2016.03', '2017.07', '2017.01', '2016.12', '2016.09', '2016.09', '2016.07', '2016.07', '2016.07', '2016.07', '2016.07', '2016.03', '2015.12', '2015.11', '2015.11']","青岛, 黄山, 峨眉山, 杭州","['2013.07', '2013.11', '2013.11', '2013.11']",19,4,,,
0,6,9,臻臻の世界(蚌埠),MGenderFemale,蚌埠,"Vietnam', 'Thailand'","['2016.08', '2015.08']","厦门, 杭州, 重庆, 苏州, 成都, 上海, 日照, 宜兴, 常州, 青岛","['2018.08', '2012.10', '2017.08', '2011.08', '2017.08', '2015.08', '2018.07', '2016.02', '2018.10', '2018.07']",2,10,,,
22,181,158,小狮子 AKa(天津),MGenderFemale,宝山,,[],,[],0,0,,,
0,0,3,花花君(保定),,保定,Thailand',['2017.01'],,[],1,0,,,
2,0,0,龙眼(奔戈马),MGenderMale,奔戈马,,[],,[],0,0,,,
0,11,60,QY张小帅(比利时),MGenderFemale,比利时,,[],"北京, 九寨沟, 大连, 亚丁, 上海, 三亚, 威海, 成都, 西安, 新都桥, 香港, 西塘, 稻城, 甘孜, 泸定, 四姑娘山","['2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2014.07', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2015.04', '2013.11', '2013.11']",0,16,,,
0,0,9,娃娃(布拉格),MGenderFemale,布拉格,,[],"额尔古纳, 呼伦贝尔, 北京, 满洲里, 广州","['2014.02', '2011.10', '2010.03', '2014.02', '2011.01']",0,5,,,
0,0,0,青春已不再(常州),MGenderMale,常州,,[],,[],0,0,,,
0,58,309,背包客nic(成都),MGenderMale,成都,,[],"江门, 上海, 无锡灵山, 西塘, 额济纳旗, 稻城, 西安, 无锡, 泸沽湖, 苏州, 色达, 康定, 牛背山, 泸定, 阿坝, 新都桥, 拉萨, 丹巴, 理塘, 甘孜","['2016.04', '2014.05', '2016.01', '2014.05', '2014.11', '2014.05', '2014.08', '2016.01', '2014.02', '2014.11', '2012.06', '2011.09', '2011.11', '2014.05', '2011.10', '2011.01', '2011.01', '2014.05', '2014.11', '2012.05']",0,20,,,
0,1,21,苹and猫(成都),MGenderFemale,成都,"Malaysia', 'Laos', 'Thailand', 'Cambodia'","['2014.05', '2014.05', '2014.05', '2014.05']",,[],4,0,,,
0,128,260,边缘儿(成都),MGenderFemale,成都,"Korea', 'Japan'","['2016.08', '2012.04']",,[],2,0,,,
0,7,110,7跳(成都),MGenderMale,成都,"Indonesia', 'Nepal', 'Cambodia'","['2018.11', '2017.07', '2016.09']","大连, 成都, 香港, 北京, 都江堰, 四姑娘山, 哈尔滨, 重庆, 喀什, 上海, 长春, 西安, 南京","['2015.08', '2013.10', '2013.10', '2013.10', '2015.04', '2016.05', '2015.08', '2013.10', '2014.06', '2014.06', '2015.08', '2014.06', '2014.06']",3,13,,,
0,98,77,77旅食酱(成都),MGenderFemale,成都,,[],"成都, 厦门, 昆明, 重庆, 西安, 三亚, 合肥, 阿坝, 丽江, 兰州, 武夷山, 佛山, 神农架","['2018.07', '2018.09', '2018.08', '2018.08', '2018.09', '2018.08', '2018.08', '2018.09', '2018.08', '2018.09', '2018.09', '2018.09', '2018.11']",0,13,,,
0,0,0,李老师(成都),MGenderMale,成都,,[],,[],0,0,,,
0,92,28,Shell(成都),MGenderFemale,成都,"Thailand', 'Malaysia', 'Singapore', 'Philippines', 'Sri Lanka'","['2018.06', '2018.06', '2018.06', '2018.06', '2018.06']","泸沽湖, 丽江, 西宁, 成都","['2018.06', '2018.06', '2018.06', '2018.07']",5,4,,,
0,0,0,心在远方(成都),MGenderMale,成都,,[],,[],0,0,,,
13,0,0,兔兔(成都),MGenderFemale,成都,,[],,[],0,0,,,
0,13,0,老向一家(成都),MGenderFemale,成都,Canada',['2018.11'],,[],1,0,,,
1,0,0,自强不息(成都),MGenderMale,成都,,[],,[],0,0,,,
2,75,1,东方雨菲(成都),MGenderFemale,成都,,[],香港,['2018.11'],0,1,,,
0,0,0,云淡风轻(成都),MGenderFemale,成都,,[],,[],0,0,,,
0,1,63,李小悦走走不停(成都),MGenderFemale,成都,United Kingdom',['2017.05'],"台北, 花莲, 南投, 新北, 屏东, 垦丁, 九份, 淡水","['2014.08', '2014.08', '2014.08', '2015.04', '2015.04', '2014.08', '2014.08', '2014.08']",1,8,,,
0,2,0,源儿哥(成都),MGenderMale,成都,"Japan', 'India'","['2016.07', '2016.11']","重庆, 色达, 广州","['2014.05', '2014.05', '2014.05']",2,3,,,
0,4,3,/跳跳绋北京),MGenderMale,成都,"Macedonia', 'The Republic of Bulgaria', 'Turkey', 'Thailand', 'Vietnam'","['2018.11', '2018.11', '2018.11', '2018.01', '2018.02']",,[],5,0,,,
0,66,6,独行的猫(成都),,成都,Thailand',['2018.03'],,[],1,0,,,
0,0,2,小西(成都),MGenderFemale,成都,,[],"碌曲, 西宁","['2015.04', '2014.05']",0,2,,,
0,6,24,形色小葱(成都),MGenderFemale,成都,"Italy', 'Poland', 'Germany'","['2014.10', '2018.10', '2018.10']","成都, 镇远, 霞浦, 黄姚古镇, 北京, 西江","['2013.12', '2014.05', '2013.12', '2014.09', '2013.12', '2015.04']",3,6,,,
0,8,7,泡芙(成都),MGenderFemale,成都,Myanmar',['2017.11'],"绵阳, 丽江","['2017.07', '2017.07']",1,2,,,
0,1,5,行走的活火山(成都市),MGenderFemale,成都,"Thailand', 'Malaysia'","['2014.03', '2013.11']",,[],2,0,,,
0,4,49,S。(成都市),MGenderFemale,成都,United States of America',['2014.05'],"厦门, 北海, 涠洲岛, 鼓浪屿, 北部湾, 南宁","['2014.05', '2014.05', '2014.05', '2014.05', '2015.04', '2014.05']",1,6,,,
0,1,33,若尘(四川成都),MGenderFemale,成都,"Malaysia', 'Korea', 'Thailand'","['2013.12', '2013.07', '2011.09']",文昌,['2015.12'],3,1,,,
0,0,2,小西(成都),,成都,,[],,[],0,0,,,
0,0,0,让世界免费(承德),MGenderMale,承德,,[],,[],0,0,,,
0,11,73,疯狂的石头(崇州),MGenderMale,崇州,,[],"阿坝, 泸沽湖, 三亚, 文昌, 重庆, 牛背山, 都江堰, 色达, 西昌, 昆明, 雅安, 丽江, 澄江","['2015.11', '2015.10', '2015.07', '2015.07', '2015.07', '2014.12', '2015.11', '2016.07', '2015.08', '2015.11', '2015.07', '2015.11', '2015.11']",0,13,,,
0,0,0,死猪不怕开水烫(达州),,达州,,[],,[],0,0,,,
0,24,6,松木巴士(大理),MGenderFemale,大理,,[],"广州, 咸阳","['2018.03', '2018.10']",0,2,,,
2,0,21,小乔(大连),MGenderFemale,大连,,[],"哈尔滨, 呼伦贝尔, 满洲里","['2015.09', '2014.05', '2014.05']",0,3,,,
2,34,1,小鱼A(大连),MGenderFemale,大连,,[],漠河,['2016.04'],0,1,,,
0,0,0,马蜂窝用户(大连),,大连,,[],,[],0,0,,,
0,2,54,三月女王Amanda(大连),MGenderFemale,大连,,[],"鞍山, 无锡, 哈尔滨, 沈阳, 太湖, 上海, 杭州","['2013.08', '2011.10', '2011.09', '2012.08', '2015.04', '2011.10', '2014.02']",0,7,,,
0,0,0,好好先生(大连),MGenderMale,大连,,[],,[],0,0,,,
0,0,0,雪莹(大庆),MGenderFemale,大庆,"Japan', 'Korea'","['2018.09', '2018.09']",,[],2,0,,,
1,106,206,天狼(山西大同),MGenderMale,大同,,[],"北京, 大同, 杭州, 绍兴, 张家界, 云冈石窟, 南京, 丽水, 大连, 康定, 苏州, 南浔, 扬州, 稻城, 雁荡山, 台州, 衡阳, 赣州, 凤凰古镇, 西安","['2013.09', '2013.09', '2013.09', '2013.09', '2014.01', '2014.01', '2014.01', '2013.09', '2014.01', '2016.11', '2014.01', '2015.08', '2014.01', '2016.11', '2014.01', '2013.09', '2014.01', '2013.09', '2013.09', '2014.01']",0,20,,,
0,0,0,Puma(朝阳),MGenderFemale,大兴安岭,,[],,[],0,0,,,
0,77,0,Davy(大兴安岭),,大兴安岭,,[],,[],0,0,,,
0,88,2,偶然(丹东),MGenderMale,丹东,"Malaysia', 'Thailand'","['2015.03', '2015.03']","丹东, 贵阳, 安顺","['2015.04', '2018.08', '2018.08']",2,3,,,
0,0,36,乌云背后的幸福线(迪拜&北京),MGenderMale,迪拜,"Maldives', 'Jordan', 'Japan', 'Seychelles'","['2018.08', '2017.12', '2017.08', '2017.01']","木兰围场, 伊犁, 青岛, 哈尔滨, 喀纳斯, 广州","['2015.10', '2016.08', '2008.10', '2003.12', '2007.08', '2004.11']",4,6,,,
0,7,21,爱国国(东城),MGenderFemale,东城,,[],"呼伦贝尔, 阿尔山","['2015.07', '2015.08']",0,2,,,
0,39,73,贝勒爷-吉祥(都柏林),MGenderMale,都柏林,"France', 'Spain', 'Portugal', 'Japan', 'Norway', 'The Republic of Armenia', 'Azerbaijan', 'Georgia', 'Ireland', 'Denmark', 'Belgium', 'Morocco', 'Thailand', 'Sri Lanka'","['2017.01', '2018.04', '2018.04', '2017.10', '2017.01', '2017.09', '2017.09', '2017.09', '2016.05', '2017.01', '2017.01', '2016.08', '2015.03', '2015.10']",,[],14,0,,,
0,4,2,之辉人生(敦煌),MGenderMale,敦煌,,[],敦煌,['2017.07'],0,1,,,
0,476,4,轻描淡写的伤(敦煌),MGenderFemale,敦煌,,[],"酒泉, 武汉, 乌鲁木齐, 三亚, 西安","['2016.11', '2016.11', '2016.11', '2016.11', '2016.11']",0,5,,,
1,0,0,李小仙儿(恩施),MGenderFemale,恩施,,[],,[],0,0,,,
0,0,0,深蓝碎浅绿(福州),MGenderMale,福州,,[],,[],0,0,,,
0,0,0,诚信(福州),MGenderMale,福州,,[],,[],0,0,,,
0,14,6,gxj1211(福州),MGenderFemale,福州,,[],"黄山, 福州, 平潭, 漳州, 厦门, 莆田, 上饶","['2016.06', '2016.06', '2016.06', '2016.06', '2016.06', '2016.06', '2016.07']",0,7,,,
4,46,39,阿呸(抚顺),MGenderMale,抚顺,,[],"上海, 杭州, 拉萨, 抚顺, 重庆, 北京, 南京, 威海, 舟山, 蓬莱, 昆明, 哈尔滨, 大理, 桂林, 昆山, 苏州, 阳朔, 张北, 普陀山, 景洪","['2013.04', '2013.11', '2014.03', '2013.09', '2014.04', '2013.11', '2013.01', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2014.05', '2013.11', '2012.08', '2012.10', '2015.04']",0,20,,,
0,2,0,青海、甘肃旅游(甘肃),MGenderMale,甘肃,,[],,[],0,0,,,
0,0,0,徐红(广元),MGenderFemale,广元,,[],,[],0,0,,,
0,2,23,leewuuyi(广东),MGenderMale,广州,,[],"香格里拉, 崇左, 阿勒泰, 湘西, 南宁, 禾木, 云浮, 喀纳斯, 迪庆, 昌吉, 乌鲁木齐, 德钦, 布尔津, 凤凰古镇","['2012.01', '2013.07', '2013.11', '2011.09', '2013.07', '2013.12', '2013.11', '2013.12', '2015.02', '2014.05', '2013.11', '2014.05', '2015.04', '2013.12']",0,14,,,
2,27,117,面面(重庆),MGenderMale,广州,"Japan', 'Thailand'","['2018.02', '2014.03']","台北, 厦门, 南投, 九份, 鼓浪屿","['2014.12', '2012.11', '2015.02', '2015.02', '2015.04']",2,5,,,
0,80,93,Quincy启越(广州),MGenderMale,广州,Thailand',['2017.12'],"长沙, 焦作, 澳门, 东莞, 广州, 云台山, 江门","['2015.10', '2016.10', '2014.09', '2015.07', '2013.09', '2016.10', '2017.06']",1,7,,,
0,10,57,Miss.Joy(广州),MGenderFemale,广州,,[],"台北, 屏东, 淡水, 西塘, 桃园, 贵阳, 新竹, 广州, 香港, 垦丁, 上海","['2017.10', '2017.12', '2018.01', '2016.10', '2017.10', '2017.06', '2017.11', '2015.02', '2015.02', '2017.10', '2016.10']",0,11,,,
0,0,24,钟家小珊(广州),MGenderFemale,广州,"The United Republic of Tanzania', 'Spain', 'Portugal'","['2015.04', '2014.05', '2014.05']","潮州, 汕头","['2014.01', '2014.08']",3,2,,,
0,1,4,放逐心情(广州),MGenderFemale,广州,,[],"林芝, 昌吉, 波密","['2014.05', '2014.05', '2014.05']",0,3,,,
0,0,0,张小静(惠州),MGenderFemale,广州,,[],,[],0,0,,,
0,34,0,易周风云(广州),MGenderMale,广州,,[],,[],0,0,,,
1,0,0,国际机票--刘曼(),,广州,Turkey',['2018.08'],,[],1,0,,,
1,845,1071,饭团*karenchow(广州),MGenderFemale,广州,United Kingdom',['2018.10'],"广州, 香港, 澳门, 台北, 汕头, 长沙, 新北, 南京, 西安, 屏东","['2017.05', '2014.03', '2014.03', '2014.03', '2018.08', '2016.04', '2015.02', '2018.06', '2014.05', '2017.08']",1,10,,,
2,10,122,CHELSEY4703(广州),MGenderFemale,广州,"Japan', 'Korea'","['2017.04', '2016.04']","广州, 香港, 成都, 澳门, 乌镇, 台北, 凤凰古镇, 西塘, 台南, 武汉, 重庆, 垦丁, 花莲, 深圳","['2013.10', '2013.10', '2013.07', '2013.04', '2013.10', '2014.01', '2013.10', '2012.10', '2014.01', '2014.10', '2013.10', '2014.01', '2014.01', '2013.11']",2,14,,,
0,48,23,小白兔呸(广州),MGenderMale,广州,,[],"德钦, 梅里雪山","['2015.10', '2015.10']",0,2,,,
0,45,26,马克张(广州),MGenderMale,广州,,[],"漠河, 塔什库尔干塔吉克自治县, 三亚, 抚远, 克孜勒苏柯尔克孜自治州, 色达","['2014.01', '2015.08', '2014.01', '2014.01', '2015.08', '2014.01']",0,6,,,
0,0,16,Jetty(广州),MGenderFemale,广州,"Singapore', 'Thailand', 'Indonesia'","['2017.05', '2016.10', '2016.03']",,[],3,0,,,
0,6,0,Crableee(广州),MGenderFemale,广州,,[],"北京, 凤凰古镇","['2018.06', '2018.06']",0,2,,,
0,0,0,Sara(广州),MGenderFemale,广州,,[],,[],0,0,,,
0,1,7,青黛(⊙_⊙)(广州),MGenderFemale,广州,"Sri Lanka', 'Canada'","['2017.09', '2013.07']","拉萨, 广州, 婺源, 杭州","['2013.10', '2011.10', '2012.06', '2011.11']",2,4,,,
0,6,17,米奇老表.(广州),MGenderMale,广州,Cambodia',['2015.10'],重庆,['2015.08'],1,1,,,
0,3,44,闲不住BO小姐(广州),MGenderFemale,广州,,[],"三清山, 凤凰古镇, 庐山, 婺源, 南昌, 湘西, 珠海, 贵阳, 九江, 惠州, 贺州, 香港, 上饶","['2015.08', '2015.08', '2015.08', '2015.08', '2015.08', '2015.08', '2015.09', '2015.08', '2015.08', '2015.09', '2015.08', '2015.08', '2015.08']",0,13,,,
0,1,8,Airmo(广州),,广州,Thailand',['2018.09'],赣州,['2016.10'],1,1,,,
0,650,30,唛斯基(广州),MGenderMale,广州,"Australia', 'Japan', 'Italy', 'France', 'Spain', 'Czech', 'Portugal', 'Holland', 'Iceland'","['2018.04', '2018.03', '2017.10', '2017.10', '2017.05', '2017.05', '2017.05', '2016.10', '2016.10']","广州, 青岛","['2008.08', '2014.09']",9,2,,,
0,15,34,易拎ToGooDay(广州),MGenderFemale,广州,Indonesia',['2018.09'],"广州, 武汉, 澳门, 台北, 厦门, 新北, 香港, 大连, 台南, 台中, 高雄, 漳州, 潮州, 三亚, 珠海, 汕头, 韶关, 基隆, 惠州","['2018.06', '2018.06', '2015.12', '2015.12', '2018.06', '2018.06', '2015.12', '2018.08', '2018.06', '2018.06', '2018.06', '2018.06', '2018.06', '2018.06', '2015.12', '2018.06', '2018.06', '2015.12', '2015.12']",1,19,,,
9,6,8,Amelia(广州),MGenderFemale,广州,,[],"大理, 丽江, 昆明, 汕头, 重庆, 珠海, 三亚, 成都","['2016.08', '2016.08', '2016.08', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11']",0,8,,,
0,0,0,一叶知秋(广州),MGenderMale,广州,,[],,[],0,0,,,
0,0,0,我是个疯子(广州),MGenderFemale,广州,,[],,[],0,0,,,
0,0,5,七八去旅行(南京),MGenderFemale,广州,,[],"敦煌, 西安, 渭南, 成都, 西宁, 重庆, 酒泉, 海南藏族自治州, 色达, 深圳, 祁连, 河源, 张掖, 湛江, 阿坝, 海北藏族自治州, 青海湖, 惠州, 华山","['2017.06', '2017.07', '2017.07', '2018.03', '2017.06', '2018.03', '2017.06', '2017.06', '2018.03', '2017.02', '2017.06', '2017.01', '2017.06', '2017.02', '2018.03', '2017.06', '2017.06', '2017.08', '2017.07']",0,19,,,
1,8,4,傻小兔(广州 湖南 重庆),MGenderFemale,广州,,[],"涠洲岛, 北海","['2012.07', '2013.06']",0,2,,,
0,0,0,曾婷@（广州）(广州),MGenderFemale,广州,,[],,[],0,0,,,
0,6,6,行囊鼓鼓(广东),MGenderFemale,广州‘,,[],"拉萨, 凤凰古镇","['2014.09', '2011.07']",0,2,,,
0,4,13,炸妞新生活(贵阳),MGenderFemale,贵阳,"Thailand', 'Malaysia', 'Indonesia', 'Singapore', 'Greece', 'France'","['2014.11', '2014.11', '2014.11', '2014.11', '2011.10', '2011.10']","镇远, 澳门, 青海湖, 海西, 西宁","['2013.09', '2013.03', '2013.02', '2015.04', '2014.05']",6,5,,,
0,7,52,COLD-TEA(贵阳),MGenderMale,贵阳,"Japan', 'Palestine', 'Philippines', 'Myanmar', 'United Kingdom', 'Turkey'","['2015.03', '2016.01', '2016.01', '2016.01', '2015.10', '2013.10']","重庆, 北京","['2015.08', '2014.05']",6,2,,,
0,0,0,edwards(桂林),MGenderMale,桂林,,[],,[],0,0,,,
0,22,29,邓耀鸿KenTang(广州),MGenderFemale,桂林,"New Zealand', 'Philippines', 'Vatican City State', 'Japan', 'Finland', 'Maldives'","['2018.09', '2018.05', '2018.04', '2018.04', '2017.12', '2017.10']",大连,['2014.02'],6,1,,,
0,55,4,Maruko爱桃子酱(苏黎世),MGenderMale,桂林,,[],阳朔,['2016.06'],0,1,,,
0,4,24,没有人会来救你(海外),MGenderFemale,海外,"Italy', 'France', 'Germany', 'Portugal', 'Spain', 'Iceland', 'United States of America'","['2017.04', '2017.04', '2015.12', '2016.10', '2016.10', '2016.07', '2015.08']",海口,['2015.08'],7,1,,,
6,7,47,ddyao(杭州),MGenderFemale,杭州,"New Zealand', 'Greece', 'Thailand'","['2015.02', '2013.09', '2012.08']","香港, 扬州, 三亚, 丽水, 南京, 舟山","['2016.03', '2015.07', '2012.12', '2016.07', '2015.07', '2015.08']",3,6,,,
0,2,76,只喝可乐的鱼(杭州),MGenderFemale,杭州,,[],"九寨沟, 厦门, 成都","['2017.06', '2015.10', '2016.10']",0,3,,,
0,0,0,云上太阳(杭州),MGenderFemale,杭州,,[],,[],0,0,,,
0,0,0,若愚@饥人谷(杭州),MGenderMale,杭州,,[],,[],0,0,,,
0,0,0,YY(杭州),MGenderFemale,杭州,,[],,[],0,0,,,
0,1,5,冯克雷德宇斯(长宁区),MGenderFemale,杭州,"Marshall Islands', 'United States of America'","['2017.10', '2017.10']",,[],2,0,,,
0,0,4,Sephy(杭州),MGenderMale,杭州,"Japan', 'Sri Lanka', 'Maldives', 'Indonesia', 'Thailand', 'Canada'","['2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05']",,[],6,0,,,
0,1,5,MagicRabbit(杭州),MGenderFemale,杭州,"Thailand', 'France', 'Holland', 'Czech', 'Austria', 'Switzerland'","['2016.06', '2017.07', '2017.07', '2017.07', '2017.07', '2016.06']",,[],6,0,,,
0,0,0,Jerry_liu(杭州),MGenderMale,杭州,,[],,[],0,0,,,
0,3,0,学长(湛江),MGenderFemale,杭州,"Thailand', 'Nepal'","['2017.11', '2017.11']",新北,['2017.11'],2,1,,,
3,8,94,宋小满(杭州),MGenderFemale,杭州,Japan',['2015.08'],"花莲, 屏东, 高雄, 台北, 垦丁, 上海","['2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2015.08']",1,6,,,
3,12,13,Hi我是Nina妈咪(杭州),MGenderFemale,杭州,"United Arab Emirates', 'Maldives', 'Singapore', 'Japan', 'Morocco'","['2018.06', '2018.06', '2018.06', '2018.06', '2018.06']",,[],5,0,,,
18,23,20,ludwig(杭州),MGenderMale,杭州,"United States of America', 'Spain', 'Portugal', 'Switzerland', 'United Kingdom', 'Australia'","['2017.02', '2016.02', '2016.02', '2015.12', '2015.12', '2015.12']","厦门, 香港, 宁德","['2015.12', '2015.12', '2015.12']",6,3,,,
0,17,191,小圆子圈圈(杭州),MGenderFemale,杭州,"United Arab Emirates', 'Korea', 'New Zealand', 'Indonesia', 'Sri Lanka'","['2017.12', '2016.11', '2016.04', '2015.12', '2015.09']","重庆, 丽江, 阿里, 日喀则, 拉萨, 泸沽湖","['2015.08', '2014.04', '2014.10', '2014.10', '2014.10', '2014.04']",5,6,,,
0,13,5,晨汐(杭州),MGenderFemale,杭州,,[],"南京, 武汉, 丽江, 苏州, 深圳, 绍兴, 西塘, 阳朔, 同里, 香港, 西递, 雁荡山, 千岛湖, 上海, 黟县, 萍乡, 广州, 昆山, 长沙, 大理","['2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2015.04', '2018.08', '2015.04', '2015.04', '2018.08', '2015.04']",0,20,,,
0,0,0,尼玛君仔呀(广州),MGenderFemale,杭州,Greece',['2018.01'],"衢州, 西塘","['2017.03', '2017.03']",1,2,,,
0,0,0,Luke(绍兴),MGenderFemale,呼和浩特,,[],,[],0,0,,,
1,33,0,海拉尔温暖的大白(呼伦贝尔),MGenderFemale,呼伦贝尔,,[],,[],0,0,,,
0,127,143,云中漫步(湖州),MGenderMale,湖州,,[],"凤凰古镇, 承德, 湖州, 苏州, 杭州, 南浔, 长沙, 北京, 乌镇, 贵阳, 镇远, 凯里, 黄果树瀑布景区, 盘锦, 阳朔, 漠河, 桂林, 绍兴, 荔波, 兰州","['2015.07', '2015.07', '2015.09', '2012.09', '2015.04', '2012.03', '2015.07', '2015.07', '2015.07', '2015.09', '2012.05', '2015.04', '2015.09', '2015.09', '2012.08', '2015.07', '2015.04', '2015.09', '2015.09', '2015.10']",0,20,,,
0,0,0,小云(惠州),MGenderFemale,惠州,,[],,[],0,0,,,
0,0,1,why xu(深圳),MGenderFemale,惠州,,[],,[],0,0,,,
0,1,6,ˇ叶大湿(犄角旮旯),,犄角旮旯,Korea',['2016.05'],"抚顺, 沈阳, 哈尔滨, 大连, 福州, 营口, 天津, 秦皇岛, 长春, 鞍山, 锦州","['2012.05', '2012.04', '2014.09', '2012.10', '2015.08', '2015.08', '2015.08', '2015.08', '2015.08', '2015.08', '2015.08']",1,11,,,
0,0,0,小羊驼的粑粑(济南),MGenderMale,济南,,[],,[],0,0,,,
0,16,68,饭人小宫(济南),MGenderMale,济南,,[],"济南, 长白山, 银川, 张家界, 荔波, 阳朔, 武夷山, 敦煌, 黔东南, 桂林, 绥芬河, 三清山, 华山, 拉萨, 霞浦, 哈尔滨, 邵阳, 泸沽湖, 张掖, 大理","['2015.09', '2014.08', '2018.08', '2014.12', '2015.09', '2015.08', '2015.10', '2015.10', '2015.10', '2015.08', '2015.01', '2015.10', '2015.10', '2017.05', '2015.10', '2015.01', '2015.04', '2014.12', '2015.10', '2014.04']",0,20,,,
0,0,0,WenSQ(济宁),MGenderMale,济宁,,[],,[],0,0,,,
0,0,0,小米(江西),MGenderMale,江西,,[],,[],0,0,,,
0,0,0,dongdong(焦作),MGenderMale,焦作,,[],"杭州, 赤峰, 西安, 拉萨, 湘西, 丽江, 上海, 焦作, 北京, 晋中, 晋城, 三亚, 九寨沟, 南京, 武汉, 张家界, 苏州, 阿坝, 青岛, 张家口","['2010.04', '2017.10', '2015.09', '2015.01', '2015.10', '2014.05', '1999.01', '2014.05', '2016.05', '2014.05', '1999.01', '1999.02', '2009.01', '1999.01', '1999.01', '2015.10', '1999.01', '1999.01', '1999.01', '2017.10']",0,20,,,
0,151,41,八荒逐梦(金华),MGenderMale,金华,,[],"金华, 苏州, 三亚, 儋州, 海口, 乐东, 海南藏族自治州, 黄山, 九江, 南京, 滁州, 厦门, 万宁, 澄迈, 海西, 永登, 延安, 大连, 酒泉","['2017.04', '2017.06', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.05', '2017.10', '2017.05', '2017.05']",0,19,,,
0,0,0,Sophie(静安),MGenderFemale,静安,,[],,[],0,0,,,
0,0,0,鹏飞(酒泉),MGenderMale,酒泉,,[],,[],0,0,,,
0,6,14,小迷糊(开封),MGenderMale,开封,,[],洛阳,['2018.05'],0,1,,,
1,20,83,猫熊先生(云南昆明),MGenderMale,昆明,"Malaysia', 'Japan', 'Thailand'","['2013.11', '2016.02', '2013.08']","稻城, 香港, 甘孜","['2017.11', '2018.07', '2017.11']",3,3,,,
0,0,0,︶ㄣ奋斗＿︵(拉彭兰塔),MGenderMale,拉彭兰塔,Russia',['2016.11'],"宁德, 福州, 哈尔滨, 长白山, 北京, 牡丹江, 延边, 绥化, 雾凇岛, 图们, 延吉","['2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11', '2016.11']",1,11,,,
0,55,59,芸小熊(乐山),MGenderFemale,乐山,,[],"张家界, 成都, 峨眉山, 九寨沟, 北京, 拉萨, 三亚, 泸沽湖, 丽江, 林芝, 乐山, 广州, 香格里拉, 阿坝, 大理, 深圳, 雅安, 香港, 双廊, 泸州","['2013.11', '2013.06', '2012.07', '2014.10', '2014.02', '2013.11', '2013.11', '2014.02', '2012.11', '2013.11', '2013.04', '2013.11', '2012.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11', '2013.11']",0,20,,,
1,0,0,小虞(丽水),MGenderFemale,丽水,,[],,[],0,0,,,
